Open,High,Low,Close,Volume,Dividends,Stock Splits
128.22379338136977,128.8340031338152,122.21022673136561,123.09602355957031,112117500,0.0,0.0
124.8873030948284,126.62937150933897,123.10587260552037,124.36566925048828,89113600,0.0,0.0
125.12351256937882,125.75341088924934,122.79092293482029,123.04681396484375,80962700,0.0,0.0
124.02118700839063,128.23362708296847,122.91886125861728,127.57420349121094,87754700,0.0,0.0
128.4107665197256,131.30436630158056,127.83991897613902,128.09580993652344,70790800,0.0,0.0
128.2041494219829,129.18836679361232,126.0979248474145,128.66673278808594,63896200,0.0,0.0
129.17849644752224,131.402821722743,128.40097153395064,131.38314819335938,69458900,0.0,0.0
131.76699610111268,132.14098840377943,129.36550386584642,131.30441284179688,71379600,0.0,0.0
129.94617875784812,132.79056549396478,129.58202324711493,132.63308715820312,57809700,0.0,0.0
132.7019826183309,135.12314807764807,132.01303370787318,133.79446411132812,63646600,0.0,0.0
134.6605787592018,136.42232060237055,132.8988218980733,133.07598876953125,69672800,0.0,0.0
131.96380450388668,134.09955338686564,131.65869966602656,133.13502502441406,58280400,0.0,0.0
133.14488168206822,135.84164181281548,132.10161400912494,135.69400024414062,80223600,0.0,0.0
135.94005904305521,141.0579999020067,135.72353008280908,138.88287353515625,81760300,0.0,0.0
138.0955084866108,140.90053342355856,138.0856717213938,140.2804718017578,66435100,0.0,0.0
138.6663561197799,140.1820439497328,136.61918260935104,139.6210479736328,65799300,0.0,0.0
140.9103416541343,141.9732977828438,139.6603818984353,141.68788146972656,54105100,0.0,0.0
140.90049992434123,144.9062550377642,140.82176076743906,143.62677001953125,70555800,0.0,0.0
142.6721295386836,143.25281407268088,140.59543068062553,140.74305725097656,64015300,0.0,0.0
140.4477633640219,142.06187864867766,140.03439402480078,142.01266479492188,65874500,0.0,0.0
141.69769542128986,144.29602720051471,139.08952688042356,143.1346435546875,77663600,0.0,0.0
146.5498959772077,148.7939093931277,145.831421817907,148.43960571289062,118339000,0.0,0.0
